Investment Banking Name,Country
Aksia Europe Limited,United-Kingdom
Albourne Partners Limited,United-Kingdom
Andrew McCarthy Associates Limited,United-Kingdom
Armajaro Holdings Limited,United-Kingdom
Armstrong International Ltd.,United-Kingdom
Atlantic Link Management Services Ltd.,United-Kingdom
Aviate Global LLP,United-Kingdom
B&B Structured Finance Ltd.,United-Kingdom
bfinance International Ltd.,United-Kingdom
bfinance UK Limited,United-Kingdom
Capita Financial Group Limited,United-Kingdom
Capita IRG Trustees Limited,United-Kingdom
Clean Power Capital (UK) LLP,United-Kingdom
Cordium Consulting Limited,United-Kingdom
"Correlate UK Search, Ltd.",United-Kingdom
Credit Benchmark Ltd.,United-Kingdom
Credit Suisse Securities (Europe) Limited,United-Kingdom
Echelon Research & Advisory LLP,United-Kingdom
EM Group Limited,United-Kingdom
Execution Noble & Company Limited,United-Kingdom
Expert Analysis Group Limited,United-Kingdom
First Avenue Partners LLP,United-Kingdom
Fishburn Hedges Boys Williams Limited,United-Kingdom
Fundalytics Ltd.,United-Kingdom
Goldman Sachs International,United-Kingdom
Hanover Communications International Ltd,United-Kingdom
Heartwood Wealth Management Ltd.,United-Kingdom
Independent Risk Monitoring Ltd,United-Kingdom
Instinet Europe Limited,United-Kingdom
InteDelta Limited,United-Kingdom
Jewson Associates Ltd.,United-Kingdom
John Piccitto Consulting Ltd.,United-Kingdom
Kinetic Partners LLP,United-Kingdom
Kleinwort Benson Private Bank Limited,United-Kingdom
Kyte Broking Limited,United-Kingdom
Laven Partners Ltd,United-Kingdom
Liability Solutions Limited,United-Kingdom
Liquid Capital Ltd,United-Kingdom
Macro Advisory Partners LLP,United-Kingdom
MAREX Financial Limited,United-Kingdom
Mizuho International plc,United-Kingdom
"Morgan Hunt, Ltd.",United-Kingdom
"N+1 Singer Capital Markets Limited, Research Division",United-Kingdom
Nplus1 Singer Advisory LLP,United-Kingdom
Oraca Ltd.,United-Kingdom
OutSET Global LLP,United-Kingdom
Reoch Credit Partners LLP,United-Kingdom
RiverRock Securities Limited,United-Kingdom
Rostron Parry Ltd.,United-Kingdom
RP Martin Holdings Limited,United-Kingdom
Sabrecorp Limited,United-Kingdom
"Sanlam Securities UK Limited, Research Division",United-Kingdom
Schmidt Research Partners Limited,United-Kingdom
Schroder & Co. Limited,United-Kingdom
Securities Finance International Limited,United-Kingdom
Smithers & Co. Ltd.,United-Kingdom
Sonas Partners LLP,United-Kingdom
Spinoff Report Ltd,United-Kingdom
STF Partners Ltd.,United-Kingdom
Stirling Assynt (Europe) Limited,United-Kingdom
Stockcube Research Limited,United-Kingdom
Sucden Financial Limited,United-Kingdom
Sunrise Brokers LLP,United-Kingdom
The Derivatives Consulting Group Limited,United-Kingdom
The Kyte Group Limited,United-Kingdom
Tiger Consultants Limited,United-Kingdom
Total Derivatives Limited,United-Kingdom
Tradition (UK) Limited,United-Kingdom
UBS Investment Bank,United-Kingdom
"UBS Investment Bank, Research Division",United-Kingdom
"Valu-Trac Investment Management Ltd., Research Division",United-Kingdom
Westhall Capital Limited,United-Kingdom
"World Gold Council, Research Division",United-Kingdom
"Acai Solutions, LLC",United-States-of-America
ACES,United-States-of-America
"ADM Investor Services, Inc.",United-States-of-America
Affinity Fund Services LLC,United-States-of-America
"Agecroft Partners, LLC",United-States-of-America
AIG Financial Products Corporation,United-States-of-America
Aksia LLC,United-States-of-America
"Albert Fried & Company, LLC",United-States-of-America
"Alpha Search Advisory Partners, LLC",United-States-of-America
"AlphaHedge Capital Partners, LLC",United-States-of-America
"Altegris Clearing Solutions, LLC",United-States-of-America
"Altegris Investments, Inc.",United-States-of-America
"Alternative Strategies Brokerage Services, Inc.",United-States-of-America
"Altran Control Solutions, Inc.",United-States-of-America
"Altura Capital Group, LLC",United-States-of-America
American Homeowner Preservation LLC,United-States-of-America
Ameritas Investment Corp.,United-States-of-America
Anderson & Schwab Inc.,United-States-of-America
"Andrew Davidson & Co., Inc.",United-States-of-America
"Anvil Advisors, LLC",United-States-of-America
Apercen Partners LLC,United-States-of-America
Arrowhead Credit Research Corp.,United-States-of-America
"Ashford Financial Group, Inc.",United-States-of-America
Asset Management Services LLC,United-States-of-America
"Atlantic-Pacific Capital, Inc.",United-States-of-America
"Austin Stock Research, L.P.",United-States-of-America
"AVM, L.P.",United-States-of-America
"BackTrack Reports, Inc.",United-States-of-America
Bank Of Charles Town,United-States-of-America
"Baytree Capital Associates, LLC",United-States-of-America
"BBD, LLP",United-States-of-America
"Beacon Consulting Group, Inc.",United-States-of-America
"Beta Capital Management, L.P.",United-States-of-America
Beverly Hills Capital,United-States-of-America
"Bianco Research, L.L.C.",United-States-of-America
Bishops Services Inc.,United-States-of-America
"Bison Financial Group, Inc.",United-States-of-America
"Bloomberg Tradebook, LLC",United-States-of-America
Blue Phoenix Inc.,United-States-of-America
"BlueFin Research Partners, Inc.",United-States-of-America
"BNY ConvergEx Execution Solutions, LLC",United-States-of-America
"BofA Merrill Lynch, Research Division",United-States-of-America
"Bonds.com, Inc.",United-States-of-America
"Boston Portfolio Advisors, Inc.",United-States-of-America
Boyar's Intrinsic Value Research LLC,United-States-of-America
Bridgewater James Limited,United-States-of-America
"Bridgeworth Financial, LLC",United-States-of-America
"Brighton House Associates, LLC",United-States-of-America
Bristol Consulting Inc.,United-States-of-America
"Bryant Park Capital, Inc.",United-States-of-America
"BTIG, LLC",United-States-of-America
"Burke & Quick Partners LLC, Research Division",United-States-of-America
"Butler Capital Investments, LLC",United-States-of-America
Caledonian Fund Services (USA) LLC,United-States-of-America
"Calvert D. Crary, Litigation Notes",United-States-of-America
"Capital Guardian Holding, LLC",United-States-of-America
Capstone Holdings Group LLC,United-States-of-America
"Carolina Capital Markets, Inc.",United-States-of-America
Center for Research in Security Prices,United-States-of-America
"Central Park Group, LLC",United-States-of-America
"CF Global Trading, LLC",United-States-of-America
CFRA,United-States-of-America
Chalfont Hill Capital Corporation,United-States-of-America
