Investment Banking Name,Country
Banco ABN AMRO Real S.A.,Brazil
Banco Bandepe S.A.,Brazil
Banco BMG S.A.,Brazil
Banco Bonsucesso S.A.,Brazil
Banco Fibra S.A.,Brazil
Banco Gerador S.A.,Brazil
Banco Paulista S.A.,Brazil
Banco Rural S.A.,Brazil
Banif Banco de Investimento (Brasil) S.A.,Brazil
Companhia Bozano Simonsen Comercio e Industria S.A.,Brazil
Hipercard Banco M  ltiplo S.A.,Brazil
Ita   Unibanco S.A.,Brazil
RB Capital Holding S.A.,Brazil
Allianz Bank Bulgaria AD,Bulgaria
Encouragement Bank PLC,Bulgaria
BackCheck Information Corporation,Canada
"Baycor Capital, Inc.",Canada
BMO Capital Trust,Canada
BNS Capital Trust,Canada
Caisse populaire Desjardins de Lac Mistassini - Mistassini Lake Caisse Populaire Desjardins,Canada
Can-Banc NT Corp.,Canada
Checkwell Decision Corporation,Canada
Coniston Investment Corp.,Canada
Deutsche Bank (Canada) Ltd.,Canada
Everest Group Canada,Canada
Fairbank Engineering Ltd.,Canada
General Bank of Canada,Canada
GreyPoint Capital Inc.,Canada
Home Trust Company,Canada
Investor Based Finance Group Inc.,Canada
Kenmuir & Company,Canada
"Latitude Partners, Advisory Arm",Canada
"M&A Partners Mergers & Acquisitions, Inc.",Canada
"Mizuho Corporate Bank, Ltd. (Canada)",Canada
Newspaper Audience Databank Inc.,Canada
Nolin Branding & Design,Canada
Real Estate Asset Liquidity Trust,Canada
"Right Management Canada, Inc.",Canada
Scotiabank Capital Trust,Canada
"Scotiabank Global Banking and Markets, Research Division",Canada
SGS Lakefield Research Limited,Canada
TD Capital Trust,Canada
TD Capital Trust II,Canada
The Bank of Nova Scotia Trust Company,Canada
Valiant Trust Company,Canada
WaterStreet Family Capital Counsel Inc.,Canada
BA-CA Finance (Cayman) II Limited,Cayman-Islands
Julius Baer Bank and Trust Company Ltd.,Cayman-Islands
NCB (Cayman) Limited,Cayman-Islands
Royal Bank Of Canada Trust Company (cayman) Limited,Cayman-Islands
Banco Desarrollo de Scotiabank,Chile
BST Consulting Group S.A.,Chile
Corp Group Banking S.A.,Chile
"LarrainVial S.A., Research Division",Chile
Allied Commercial Bank,China
Bank of America - China,China
Bank of CangZhou,China
"Bank of Chengdu Co., Ltd.",China
"Bank of China, Research Division",China
"Bank Of Inner Mongolia Co.,Ltd",China
"Bank of Jinzhou Co., Ltd.",China
BGI,China
"Bohai Securities Co., Ltd., Research Division",China
"China Bohai Bank Co., Ltd.",China
China Credit BGC Money Broking Company Limited,China
"China Postal Savings Bank Co., Ltd.",China
"Fujian Haixia Bank Co., Ltd.",China
"Guang Dong Yin Da Guaranty Investment Group Co., Ltd",China
Guangdong Shunde Rural Commercial Bank Company Limited,China
"Hangzhou United Rural Commercial Bank Co., Ltd.",China
HSBC Bank (China) Company Limited,China
"Kaifeng City Commercial Bank Co., Ltd.",China
"Laishang Bank Co., Ltd.",China
"Longjiang Bank Co., Ltd.",China
Mianyang City Commercial Bank,China
Ningbo Commercial Bank,China
Pan-Pacific Management Institute,China
"Raiffeisen Bank International AG, Beijing Branch",China
"Shanghai Rural Commercial Bank Co., Ltd.",China
"Shenzhen Rural Commercial Bank Corp., Ltd.",China
Suzhou City Commercial Bank,China
Taizhou Commercial Bank,China
The Guangdong Rural Credit Co-operative Union,China
Tianjin Binhai Rural Commercial Bank Corporation,China
United Overseas Bank (China) Limited,China
"Yantai Bank Co., Ltd.",China
Banco Agrario de Colombia S.A.,Colombia
Banco Corpbanca Colombia S.A.,Colombia
Citibank - Colombia S.A.,Colombia
Toucan Interactive Corp.,Costa-Rica
Banque Nationale D Investissement,Cote-d-Ivoire
Ecobank Cote D'Ivoire S.A.,Cote-d-Ivoire
KentBank d.d.,Croatia
Partner banka d.d. Zagreb,Croatia
Primorska banka d.d.,Croatia
TESLA STEDNA BANKA d.d.,Croatia
Banco Exterior de Cuba,Cuba
"Hellenic Bank Public Company Ltd, Research Division",Cyprus
Istrokapital SE,Cyprus
AXA Bank,Czech-Republic
"Ceskoslovenska Obchodni Banka AS, Research Division",Czech-Republic
CommodityPoint,Czech-Republic
"Fio Banka, a.s., Research Division",Czech-Republic
"Komercni Banka AS, Research Division",Czech-Republic
LMC s.r.o.,Czech-Republic
"Vseobecna uverova banka, a.s., Prague Branch",Czech-Republic
Alm. Brand Formue A/S,Denmark
"Capinordic Bank A/S, Research Division",Denmark
"Danske Bank Markets, Research Division",Denmark
EBH Anparter A/S,Denmark
Ekspres Bank A/S,Denmark
FormueEvolution II A/S,Denmark
"Jyske Bank A/S, Research Division",Denmark
Nordea Bank Danmark A/S,Denmark
Sparekassen Fars,Denmark
