Investment Banking Name,Country
Asianajotoimisto M §kitalo Rantanen & Co Oy,Finland
"Asianajotoimisto Sivenius, Suvanto & Co Oy",Finland
Corporate Advisor Group Oy,Finland
Initia Oy,Finland
Privanet Capital Oyj,Finland
Sisu Partners Oy,Finland
Spinverse Oy,Finland
Systems Biology Worldwide Ltd.,Finland
A2Zeurope,France
ABCVenture,France
"Ayache, Salama & Associes",France
Banque Fran ßaise Commerciale De L'oc ©an Indien Soci ©t © anonyme,France
Berlioz & Associes,France
Bersay & Associ ©s,France
BusinessAngels.com,France
Cabinet Bussy D ©nari © Fouquet Troupin,France
Cabinet Castaldi Mourre Sprague,France
CDC IXIS - LCF Rothschild Midcaps,France
Compagnie Financi ®re Lazard Fr ®res SAS,France
Corevise - Fidinter S.A.,France
Equalis Capital Management,France
Exane BNP Paribas SA,France
Financiere Equitor,France
GEREJE Corporate Finance SAS,France
Hera Finance,France
intuitucapital SA,France
Julienne Avocats,France
Leaders Trust International,France
Leonardo Ventures,France
Lexcom-Soci ©t © d'Avocats,France
Morvilliers Sentenac Givry Wallaert Bellefon,France
Natixis Pramex International SA,France
Ol ©ron Participations,France
Orrick Rambaud Martel,France
Petoin Associes,France
Rothschild & Cie Banque,France
SB Avocats,France
Triago,France
Venture Medical Solutions Sarl,France
Allianz Corporate Pensions Advisors,Germany
Apax Partners Beteiligungsberatung Gmbh,Germany
"Axer Partnerschaft, Rechtsanw §lte Wirtschaftspr ºfer Steuerberater",Germany
B ºrgel Wirtschaftsinformationen GmbH & Co. KG,Germany
Blue Ribbon Investment AG,Germany
BW Mergers & Acquisitions GmbH,Germany
Cartagena Capital GmbH,Germany
CB Equity Partners GmbH,Germany
Clean Venture GmbH,Germany
CMS Hasche Sigle,Germany
"Conalliance, Hober | Sachsenhauser & Cie.",Germany
CORFINA AG,Germany
Creditinfo SCHUFA GmbH,Germany
Dr. Schwarz-Schilling & Partner GmbH,Germany
Equinet Bank AG,Germany
Equity4Ventures,Germany
eventurecat GmbH,Germany
f.u.n. netzwerk nordbayern gmbh,Germany
Freudenberg New Technologies SE & Co. KG,Germany
Grace Advisory M&A / Corporate Finance GmbH,Germany
H ºbner Schl  sser & Cie,Germany
HBB Capital Advisers GmbH,Germany
Hegel Karbenn & Cie. Corporate Finance GmbH,Germany
HSH Corporate Finance GmbH,Germany
IEG (Deutschland) GmbH,Germany
IMAP M&A Consultants AG,Germany
Investitionsbank des Landes Brandenburg,Germany
INVITE GmbH,Germany
Kompass Corporate Finance GmbH & Co. KG,Germany
Landesbank Saar,Germany
Lazard & Co. GmbH,Germany
LfA F  rderbank Bayern,Germany
mayerh  fer & co Corporate Finance Beratung GmbH,Germany
Nick Beteiligungen,Germany
NRW.BANK,Germany
Performaxx Research GmbH,Germany
Physicians World GmbH,Germany
Reichmuth & Co Corporate Finance GmbH,Germany
"Schilling, Zutt & Anschutz",Germany
Sparkasse Herford,Germany
Steinbeis Consulting Mergers & Acquisitions GmbH,Germany
Th ºringer Aufbaubank,Germany
Tigris Venture Advisors,Germany
Transaction Management GmbH,Germany
Venture Select GmbH,Germany
VR Corporate Finance GmbH,Germany
Merchant Bank Ghana Limited,Ghana
"Axia Ventures Group Ltd, Research Division",Greece
Eurocorp SA,Greece
Sciens International Investments & Holdings S.A.,Greece
Asia Ventures Corp.,Hong-Kong
CLSA Limited,Hong-Kong
Islemount Limited,Hong-Kong
Palazzari & Turries Limited,Hong-Kong
"Sky Alliance Resources, Inc.",Hong-Kong
The Red Flagg Group,Hong-Kong
Triple A Investment Co.,Hong-Kong
WAG Worldsec Corporate Finance Limited,Hong-Kong
CeWeb Consortium,Hungary
Aarayaa Advisory Services Pvt. Ltd.,India
AFG Venture Consulting Services Private Limited,India
Altius Finserv Private Limited,India
Avon Capital Services Limited,India
Baker Tilly Singhi Consultants (P) Ltd.,India
"Ernst & Young Private Limited, Investment Banking Arm",India
Finvista Advisors (I) Private Ltd.,India
GCV Services Limited,India
ICICI Trusteeship Services Limited,India
IDBI Trusteeship Services Limited,India
IFMR Trust,India
Inrea Research Solutions Pvt. Ltd.,India
K & P Capital Services Ltd.,India
Karvy Computershare Private Limited,India
Ladderup Corporate Advisory Private Limited,India
Meghraj Capital Advisors Private Limited,India
MZSK & Associates,India
Omega Capital Advisory Services,India
Pantheon Advisory (India) Private Limited,India
RBSA Advisory Pvt. Ltd.,India
"Religare Capital Markets, Research Division",India
Right Horizons Financial Services Private Limited,India
Riverhead Advisors Pvt. Ltd.,India
Samhita Social Ventures Private Limited,India
SBICAP Trustee Company Ltd.,India
SCIL Ventures Ltd.,India
Smart Research Insights,India
Stock Holding Corporation of India Limited,India
Tamil Nadu Industrial Development Corporation Limited,India
Technopak Advisors Pvt. Ltd.,India
TriLegal Partners,India
Venture Intelligence,India
VT Manpower Consultancy Services Private Limited,India
West Coast Ventures (India) Private Limited,India
Xcelion Advisory Private Limited,India
"Hadiputranto, Hadinoto & Partners",Indonesia
Lubis Ganie Surowidjojo,Indonesia
PT AFG Venture Group Indonesia,Indonesia
Dillon Eustace Solicitors,Ireland
Halo Business Angel Network,Ireland
Technology from Ideas Ltd.,Ireland
The National Digital Research Centre Limited,Ireland
William Fry Solicitors,Ireland
Arbel Capital Group Ltd.,Israel
Bar-Zvi & Ben-Dov,Israel
Be'ery Capital Ltd,Israel
Boot Camp Ventures,Israel
Clal Finance Batucha Brokerage Ltd.,Israel
DS Apex Mergers & Acquisitions Ltd.,Israel
Ephraim Abramson & Co.,Israel
"Erdinast, Ben-Nathan & Co.",Israel
Glusman Chowers Broid,Israel
Gornitzky & Co.,Israel
"Gross, Kleinhendler, Hodak, Halevy, Greenberg & Co.",Israel
"Haim Samet, Steinmetz, Haring & Co., Advocates",Israel
"Hamburger Evron & Co., Law Offices & Notaries",Israel
Jumpstart Corporate Finance,Israel
Lipa Meir & Co.,Israel
Magna Capital Ltd.,Israel
Matar Capital Advisors Ltd.,Israel
Mati Ra'anana,Israel
Milgam Municipal Services Ltd.,Israel
"Ne‚Äôeman Moshe H., Ben-Artzi & Co.",Israel
O.R.S.-Overseas Representation Services Ltd.,Israel
Ramot & Co. Investment House Ltd.,Israel
Ramot at Tel Aviv University Ltd.,Israel
s-cube financial consulting Ltd.,Israel
"Shiboleth, Yisraeli, Roberts, Zisman & Co.",Israel
Tadbik Advanced Technologies,Israel
"Yaacov Salomon, Lipschutz & Co.",Israel
Yossi Avraham and Co.,Israel
Allaxia SpA,Italy
Bipielle Santander Central Hispano SIM SpA,Italy
Cba Studio Legale e Tributario,Italy
Economisti Associati,Italy
IKF Advisory S.r.l.,Italy
Lattanzio Group Srl,Italy
Tamburi & Associati SpA,Italy
Vitale & Associati S.p.A.,Italy
Aegir Ventures Inc.,Japan
"C&I Holdings Co.,Ltd.",Japan
Fledge Technologies Inc.,Japan
"ICMG Co., Ltd.",Japan
"Intellectual Property Strategy Network, Inc.",Japan
Jibun Bank Corporation,Japan
"Konomi, Inc.",Japan
"Morgen, Evan & Company K.K.",Japan
"Nomura Research & Advisory Co., Ltd.",Japan
Orrick Sho Kokusai,Japan
Pinnacle Inc.,Japan
RYUJIN Patent&Licensing Limited,Japan
"The Senshu Ikeda Bank, Ltd.",Japan
"The Shoko Chukin Bank,Ltd.",Japan
"The Yamaguchi Bank, Ltd.",Japan
"Westgate Advisory Co., Ltd.",Japan
Al Arabi Investment Group Co.,Jordan
Amwal Invest PLC,Jordan
ScholzvonGleich LLP,Kazakhstan
"Al Wagayan, Al Awadhi & Al Saif",Kuwait
"KIPCO Asset Management Company K.S.C.C., Advisory Arm",Kuwait
BIC Securities,Latvia
FFA Private Bank s.a.l.,Lebanon
S&L Capital Markets AG,Liechtenstein
European Investment Bank,Luxembourg
The EIB Group,Luxembourg
AmInvestment Bank Group,Malaysia
Malaysia Debt Ventures Berhad,Malaysia
Malaysian Industrial Development Finance Berhad,Malaysia
"Aliquanta, S.C.",Mexico
Angel Ventures Mexico,Mexico
Energryn Corporation Limited,Mexico
"Leon De La Vega, S.C.",Mexico
New Ventures Mexico,Mexico
Serficor Partners S.A.P.I. de C.V.,Mexico
Venture Institute S.C.,Mexico
Excalibur Investments SCP,Monaco
Cr ©dit Populaire du Maroc,Morocco
"Banco Terra, SA",Mozambique
Myanmar Asean Focus Group Limited,Myanmar
Development Credit Bank Limited,Nepal
Gurkha Development Bank (Nepal) Ltd.,Nepal
Vibor Bikas Bank Ltd.,Nepal
2Deal Ventures B.V.,Netherlands
Balmoral Ventures B.V,Netherlands
Ceramic Partners BV,Netherlands
Conmark BV,Netherlands
eVentures NL,Netherlands
Granaria Holdings B.V.,Netherlands
LAFASE Partners B.V.,Netherlands
Oost NV,Netherlands
Technology Venture Partners B.V.,Netherlands
Wageningen Business Generator B.V.,Netherlands
Armillary Limited,New-Zealand
"Aviation, Tourism and Travel Training Organisation Incorporated",New-Zealand
Campbell MacPherson Ltd,New-Zealand
Lincoln Agritech Ltd.,New-Zealand
Link Market Services Limited,New-Zealand
Murray & Company Ltd.,New-Zealand
Northington Partners Limited,New-Zealand
"Rabobank Nederland, New Zealand Branch",New-Zealand
Taboada & Asociados,Nicaragua
Unity Registrars Limited,Nigeria
Vigeo Holdings Limited,Nigeria
DNB Bank ASA,Norway
DNV Nemko Presafe AS,Norway
Ikaros Ventures AS,Norway
Rokade AS,Norway
SEB,Norway
VentureDive,Pakistan
Avance International Capital,Panama
Equitas Partners S.A.C.,Peru
"ABCapitalOnline.com, Inc.",Philippines
Al-Amanah Islamic Investment Bank of The Philippines,Philippines
"AMA Rural Bank of Mandaluyong, Inc",Philippines
"Mabuhay Capital Corporation, Inc.",Philippines
Bastion Group,Poland
CAG Spolka z ograniczona odpowiedzialnoscia Sp. k.,Poland
Holon Sp. z o.o.,Poland
PMR Ltd. Sp. z o.o.,Poland
TISE S.A.,Poland
"Caixa Geral de Dep  sitos, S.A.",Portugal
Faber ventures,Portugal
Investimento Directo,Portugal
Web-Lab SGPS SA,Portugal
The First Investor Q.S.C.,Qatar
"OLMA Investment Company, OJSC",Russia
RCF,Russia
REDSQUARE Ventures Ltd.,Russia
ROEL Corporation JSC,Russia
Tomsk Venture Investment Centre Ltd,Russia
UBS Securities CJSC,Russia
MAC Capital Advisors Limited,Saint-Lucia
AlBilad Investment Company,Saudi-Arabia
NCB Capital Company,Saudi-Arabia
The Law firm of Salah Al-Hejailan,Saudi-Arabia
AFC Merchant Bank,Singapore
AFG Venture Group Singapore Pte Ltd.,Singapore
Caprica International Pte Ltd,Singapore
Duane Morris & Selvam LLP,Singapore
GEREJE Advisory Asia Pte Ltd.,Singapore
IESE (Institute of Environmental Science and Engineering),Singapore
Ivory Capital Asia Pte Ltd.,Singapore
Stone Forest M&A Pte. Ltd.,Singapore
Venture Electronics Solutions Pte Ltd.,Singapore
Credit Agricole Corporate and Investment Bank SA pobocka zahranicnej banky,Slovakia
PRIVATA poslovno svetovanje d.o.o.,Slovenia
Africa Venture Partners,South-Africa
River Group,South-Africa
"AT Ventures, Inc.",South-Korea
"Golden Bridge Co., Ltd.",South-Korea
Institute for Information Technology Advancement,South-Korea
"Ahorro Corporaci  n, S.A.",Spain
"Altura Markets, Sociedad De Valores, S.A.",Spain
Anglia Corporate Services SL,Spain
Araoz & Rueda Abogados,Spain
"Arcano Asesores Financieros, S.L.",Spain
"Banco Cooperativo Espa ±ol, S.A.",Spain
"Banco Guipuzcoano, S.A.",Spain
Boltendahl S.L.,Spain
"Chac  n Unzu © y Asociados, S.L.",Spain
EBAME & Associats,Spain
Eurohold,Spain
GD&A Business Brokers Worldwide,Spain
"Iba ±ez & Gil Finanzas Corporativas, S.L.",Spain
INDOLINK Consulting S.L.,Spain
Kutxabank S.A.,Spain
"Pint   Ruiz & Del Valle, S.L.",Spain
"Redirection M&A, S.L.",Spain
"Servicios Econ  micos Internacionales, S.A.",Spain
Zavala Gortari Asociados,Spain
El Nilein Industrial Development Bank -Sudan,Sudan
SwaziBank,Swaziland
Aventure AB,Sweden
Canvisa Consulting AB,Sweden
Experia Corporate Finance Advisors,Sweden
Forskarpatent i Syd AB,Sweden
Momentor AB,Sweden
RECAPEX,Sweden
Result Venture Knowledge International AB,Sweden
Scandinavian Merchant Group AB,Sweden
BSF Consulting AG,Switzerland
CSFB Private Fund Group (Fund Placement Group),Switzerland
Frankfurter Bankgesellschaft (Schweiz) AG,Switzerland
Hitz & Partner Corporate Finance AG,Switzerland
IP Investment Partner AG,Switzerland
iploit AG,Switzerland
PCNA S.A.,Switzerland
Urs M §rk LLC,Switzerland
Venture Valuation AG,Switzerland
Verve Capital Partners AG,Switzerland
HC Syria,Syria
"E.SUN Venture Capital Co., Ltd.",Taiwan
"Mega International Commercial Bank Co., Ltd.",Taiwan
AFG Venture Group (Thailand) Co. Ltd.,Thailand
"G Premjee Co., Ltd.",Thailand
Government Savings Bank,Thailand
I V Global Securities Public Company Limited,Thailand
Khronos Advisory Limited,Thailand
Phatra Securities Public Company Limited,Thailand
"Strategy613 Co., Ltd.",Thailand
The Quant Group,Thailand
3 Seas Capital Partners,Turkey
Istnvest Corporate Finance,Turkey
"Odin Financial Advisors, Inc.",Turkey
East African Development Bank,Uganda
Uganda Investment Authority,Uganda
"""JSC """"TAS Group""""""",Ukraine
AYA Capital,Ukraine
FinPoint Investment Advisors,Ukraine
"Greenrock Ventures, Inc.",Ukraine
deNovo Corporate Advisors,United-Arab-Emirates
Majlis Partners,United-Arab-Emirates
MeNA Financial Group Limited,United-Arab-Emirates
Star Capital (DIFC) Limited,United-Arab-Emirates
Wallich & Matthes (Dubai) Limited,United-Arab-Emirates
247 Media Network Limited,United-Kingdom
Afrika Kapital Konnect Ltd,United-Kingdom
Alegro Capital Limited,United-Kingdom
AlpinaSearch Ltd,United-Kingdom
Altus Strategies Ltd.,United-Kingdom
Argent Partners Limited,United-Kingdom
ASB Law LLP,United-Kingdom
Ashfords LLP,United-Kingdom
Assent Ventures Limited,United-Kingdom
Athena Aviation LLP,United-Kingdom
Baker Tilly International Limited,United-Kingdom
Barclays Bank PLC,United-Kingdom
Bevan Brittan LLP,United-Kingdom
Blue Sky Group International Ltd.,United-Kingdom
Bradley Stuart LLP,United-Kingdom
British Business Bank PLC,United-Kingdom
Cambridge Capital Partners Limited,United-Kingdom
Cambridge Enterprise Limited,United-Kingdom
CAPE Ventures Ltd.,United-Kingdom
Capstone Innovation Limited,United-Kingdom
CCS TLM Limited,United-Kingdom
Chelsea Financial Services plc,United-Kingdom
Chescor Capital Limited,United-Kingdom
Clerkenwell Ventures Public Limited Company,United-Kingdom
College Hill Life Sciences Ltd.,United-Kingdom
Core Technology Ventures LLP,United-Kingdom
Credo Corporate Finance Limited,United-Kingdom
"Crowe Clark Whitehill LLP, Corporate Finance Arm",United-Kingdom
D J Freeman,United-Kingdom
Dar Al Istithmar Limited,United-Kingdom
Dar Capital (UK) Limited,United-Kingdom
Dawnay Day Olympia Ltd.,United-Kingdom
Dickson Minto W.S.,United-Kingdom
Digi-Capital Limited,United-Kingdom
Downing LLP,United-Kingdom
EA (UK) LLP,United-Kingdom
EA Technology Ventures Ltd,United-Kingdom
Edward W Kelley & Partners Ltd.,United-Kingdom
Equest Partners Limited,United-Kingdom
Equiteq LLP,United-Kingdom
Ermgassen & Co. Ltd.,United-Kingdom
Fenchurch Advisory Partners Limited,United-Kingdom
Fenners,United-Kingdom
Finance Tree Ltd.,United-Kingdom
First Capital Corporation Limited,United-Kingdom
First Trust Bank PLC,United-Kingdom
Five Arrows Capital Markets LLC,United-Kingdom
Fiveways Financial Planning Ltd,United-Kingdom
Fladgate LLP,United-Kingdom
Four Corners Financial Management Ltd.,United-Kingdom
Georgetown Venture Partners,United-Kingdom
Go4Venture Advisers LLP,United-Kingdom
HCF International Advisers Limited,United-Kingdom
Hillbrook Partners LLP,United-Kingdom
Hines Associates Limited,United-Kingdom
ICON Corporate Finance Ltd.,United-Kingdom
IDJ Limited,United-Kingdom
Independent Direction Limited,United-Kingdom
Industrious Ltd.,United-Kingdom
Ingeus UK Ltd,United-Kingdom
Innovaro Limited,United-Kingdom
Innovation Ulster Ltd,United-Kingdom
InterTradeIreland,United-Kingdom
Intrepid Ventures,United-Kingdom
Inventures Ltd.,United-Kingdom
Invigour Limited,United-Kingdom
IP Pragmatics Limited,United-Kingdom
Isca Ventures LLP,United-Kingdom
Joelson Wilson & Co.,United-Kingdom
